domain,site,plot,measurementLevel,sensorDepths,startDate,endDate
2,BLAN,5,4,-0.35,20100101125959,NA
2,BLAN,5,5,-0.65,20100101125959,NA
2,BLAN,5,6,-1.05,20100101125959,NA
2,BLAN,5,7,-1.45,20100101125959,NA
2,BLAN,5,8,-1.95,20100101125959,NA
2,SCBI,1,1,-0.07,20100101125959,NA
2,SCBI,1,2,-0.17,20100101125959,NA
2,SCBI,1,3,-0.27,20100101125959,NA
2,SCBI,1,4,-0.47,20100101125959,NA
2,SCBI,1,5,-0.87,20100101125959,NA
2,SCBI,1,6,-1.27,20100101125959,NA
2,SCBI,1,7,-1.67,20100101125959,NA
2,SCBI,1,8,-1.97,20100101125959,NA
2,SCBI,2,1,-0.055,20100101125959,NA
2,SCBI,2,2,-0.155,20100101125959,NA
2,SCBI,2,3,-0.255,20100101125959,NA
2,SCBI,2,4,-0.455,20100101125959,NA
2,SCBI,2,5,-0.855,20100101125959,NA
2,SCBI,2,6,-1.255,20100101125959,NA
2,SCBI,2,7,-1.655,20100101125959,NA
2,SCBI,2,8,-1.955,20100101125959,NA
2,SCBI,3,1,-0.07,20100101125959,NA
2,SCBI,3,2,-0.17,20100101125959,NA
2,SCBI,3,3,-0.27,20100101125959,NA
2,SCBI,3,4,-0.47,20100101125959,NA
2,SCBI,3,5,-0.87,20100101125959,NA
2,SCBI,3,6,-1.27,20100101125959,NA
2,SCBI,3,7,-1.67,20100101125959,NA
2,SCBI,3,8,-1.97,20100101125959,NA
2,SCBI,4,1,-0.07,20100101125959,NA
2,SCBI,4,2,-0.17,20100101125959,NA
2,SCBI,4,3,-0.27,20100101125959,NA
2,SCBI,4,4,-0.47,20100101125959,NA
2,SCBI,4,5,-0.87,20100101125959,NA
2,SCBI,4,6,-1.27,20100101125959,NA
2,SCBI,4,7,-1.67,20100101125959,NA
2,SCBI,4,8,-1.97,20100101125959,NA
2,SCBI,5,1,-0.06,20100101125959,NA
2,SCBI,5,2,-0.16,20100101125959,NA
2,SCBI,5,3,-0.26,20100101125959,NA
2,SCBI,5,4,-0.46,20100101125959,NA
2,SCBI,5,5,-0.86,20100101125959,NA
2,SCBI,5,6,-1.26,20100101125959,NA
2,SCBI,5,7,-1.66,20100101125959,NA
2,SCBI,5,8,-1.96,20100101125959,NA
2,SERC,1,1,-0.06,20100101125959,NA
2,SERC,1,2,-0.16,20100101125959,NA
2,SERC,1,3,-0.26,20100101125959,NA
2,SERC,1,4,-0.46,20100101125959,NA
2,SERC,1,5,-0.66,20100101125959,NA
2,SERC,1,6,-1.16,20100101125959,NA
2,SERC,1,7,-1.66,20100101125959,NA
2,SERC,1,8,-1.96,20100101125959,NA
2,SERC,2,1,-0.06,20100101125959,NA
2,SERC,2,2,-0.16,20100101125959,NA
2,SERC,2,3,-0.26,20100101125959,NA
